tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
00004 ARAYA II APOTEK MALANG,JL.GALUNGGUNG 67 E TELP:(0341)567234 MALANG,Malang,Jawa Timur
00217 JAYA SEHAT APOTEK MALANG,"JL. PASAR BESAR No. 90 TELP.(0341)324977,366993,324230 MALANG",Malang,Jawa Timur
00340 PAJAJARAN APOTEK MALANG,JL. PAJAJARAN No.12 TELP.(0341)366577 MALANG,Malang,Jawa Timur
00386 BHAKTI APOTEK BOJONEGORO,JL.JA SUPRAPTO NO.232 TELP:(0353)882162 BOJONEGORO,Bojonegoro,Jawa Timur
00404 BINANGUN APOTEK BRATANG,JL.BRATANG BINANGUN VI/55 TELP:(031)5670626/5041626 SURABAYA-TIMUR,Kota Surabaya,Jawa Timur
00428 SEJATI APOTEK MALANG,"JL. MERDEKA TIMUR 2 TELP. (0341) 369339, 322208 MALANG 65119 MALANG",Malang,Jawa Timur
00428 SEJATI APOTEK MALANG,"JL. MERDEKA TIMUR 2 TELP. (0341) 369339, 322208MALANG 65119 MALANG",Malang,Jawa Timur
00443 SUTAMI APOTEK MALANG,JL.BENDUNGAN SUTAMI KAV.3 TLP(0341)567219 MALANG,Malang,Jawa Timur
00715 BHAKTI SANTOSO APOTEK TULUNGAGUNG,JL.DIPONEGORO NO.100 TELP:(0355)324441 TULUNGAGUNG,Tulungagung,Jawa Timur
01173 JODO APOTEK JOMBANG,JL.AHMAD YANI NO.125 JOMBANG,Jombang,Jawa Timur
01220 MEDICO APOTEK MADIUN,JL.SULAWESI 16 TELP:(0351)464286 MADIUN,Madiun,Jawa Timur
01269 RADEN PATAH APOTEK NGAWI,JL.RADEN PATAH NO.1 TELP:(0351)749466 NGAWI,Ngawi,Jawa Timur
01286 RSUD DR SOEROTO NGAWI,JL.DR.WAHIDIN NO.27 TELP:(0351)749023 NGAWI,Ngawi,Jawa Timur
01451 KPRI RSUD JATI APOTEK,JL.DR SOETOMO I PROBOLINGGO,Probolinggo,Jawa Timur
01452 RSUD WALUYO JATI KRAKSAAN,JL.DR SOETOMO NO.1 KRAKSAAN TELP:(0335)846877 PROBOLINGGO,Probolinggo,Jawa Timur
01598 MERDEKA APOTEK JOMBANG,JL. PRESIDEN KH ABDURRAHMAN WAHID NO. 112 JOMBANG JOMBANG,Jombang,Jawa Timur
01689 RSI GONDANGLEGI,"JL. HAYAM WURUK 66, GONDANGLEGI MALANG",Malang,Jawa Timur
01747 RS UNIVERSTAS MUHAMMADIYAH MALANG,"JL. RAYA TLOGOMAS NO. 45, Ds. LANDUNGSARI, DAU, KAB. MALANG, JAWA TIMUR MAL",Malang,Jawa Timur
01804 SINAR BHAKTI APOTEK,"JL. DR.WAHIDIN 49, LAWANG, MALANG MALANG",Malang,Jawa Timur
01819 NASHRUL UMMAH RSI LAMONGAN,JL.MERPATI NO.62 TELP:(0322)321522/323440 LAMONGAN,Lamongan,Jawa Timur
01870 PANGESTU APOTEK SIDOARJO,JL.GAJAH MADA NO.79 TELP:(031)8921411 SIDOARJO,Sidoarjo,Jawa Timur
02165 KLINIK RAWAT JALAN PRATAMA TANDYA,JL. SEMERU NO. 43 MALANG MALANG,Malang,Jawa Timur
02210 RUMAH SAKIT KRISTEN MOJOWARNO,JL.MERDEKA 59 MOJOWARNO TELP:(0321)495093/495440 JOMBANG,Jombang,Jawa Timur
02252 KLINIK PRATAMA RAWAT JALAN KLINIK MOROMARI,JL. ANGGREK NO 05 KOTA BLITAR BLITAR,Kota Blitar,Jawa Timur
02293 SINYO APOTEK,PERUM. BULAN TERANG UTAMA KR 11 NO.23 MALANG MALANG,Malang,Jawa Timur
02362 SEHAT APOTEK LAMONGAN,JL.KUSUMA BANGSA NO.13 TELP:(0322)321685 LAMONGAN,Lamongan,Jawa Timur
03053 - SILOAM INTERNATIONAL HOSPITALS,JALANRAYA GUBENG NO 70 DAN 88 DESA/ KELURAHAN GUBENG - KEC GUBENG - JAWA TIMUR LAMA : JALANRAYA GUBENG NO 70 KELURAHAN GUBENG - KEC GUBENG - JAWA TIMUR NO TELPN: 031 5016777 031 71777425,Kota Surabaya,Jawa Timur
03538 SETIA HUSADA APOTEK JOMBANG,JL.ADITYAWARMAN NO.43 TELP:(0321)862436 JOMBANG,Jombang,Jawa Timur
04376 RSUD GRATI PASURUAN,JALAN RAYA GRATI NO.199 DESA RANUKLINDUNGAN KECEMATAN GRATI KABUPATEN PASUR,Pasuruan,Jawa Timur
04866 GRAHA TUMBUH KEMBANG APOTEK JOMBANG,JL. SAM RATULANGI NO. 31 JOMBANG JOMBANG,Jombang,Jawa Timur
05610 PERSYARIKATAN MUHAMMADIYAH,JL. RAYA 1193 KOMPLEK MASJID AT TAQWA SUMBERREJO TELP:(0353)331056 BOJONEGO,Bojonegoro,Jawa Timur
06679 - K24 MERR KALIJUDAN,JALAN IR. SOEKARNO NO 193E KAVLING 1 MULYOREJO SURABAYA SURABAYA 52314,Kota Surabaya,Jawa Timur
16P-GS to 16P-RL * IO - SBY - PHARMA,Jl. Berbek Industri V No. 8 Waru Sidoarjo,Sidoarjo,Jawa Timur
17P-GS to 17P-RL * IO - MLG - PHARMA,Jl. Mayjen Sungkono Kel. Bumiayu. Kec. Kedungkandang Malang,Kota Malang,Jawa Timur
49 CIPUTRA HOSPITAL SURABAYA,JALAN WEST RADIALROAD BLOK CF. 6 SAMBIKEREP,Kota Surabaya,Jawa Timur
49 RSMM JATIM,JL KETINTANG BARU SELATAN I NO.1 RT.003 RW.003 KETINTANG - GAYUNGAN,Kota Surabaya,Jawa Timur
54 GIGA. APT,"DUSUN KRAJAN, SLATENG, LEDOKOMBO SLATENG",Jember,Jawa Timur
54 PTPN XII (PT. ROLAS NUSANTARA MEDIKA),JL. RAJAWALI NO.44 KREMBANGAN,Banyuwangi,Jawa Timur
56 INST FARM RUMKIT TK II DR SOEPRAOEN,JALAN S. SUPRIYADI NO 22 SUKUN-SUKUN,Kota Malang,Jawa Timur
56 PANTI WALUYO SAWAHAN RS,JALAN NUSAKAMBANGAN 56 KASIN - KLOJEN YULIUS USMAN,Kota Malang,Jawa Timur
69. APT,JL.KARANTINA NO 1 KEL JATIWANGI KEC ASAKOTA BIMA NTB,Bima,Nusa Tenggara Barat
7 GEDANGAN APOTEK,JLN. RAYA GEDANGAN NO.49 GEDANGAN,Sidoarjo,Jawa Timur
7 SIDOARJO APOTEK,JL. RADEN PATAH NO. 7 SDA SIDOARJO,Sidoarjo,Jawa Timur
A 17 BENCULUK APOTEK ETY MAWARTI,BANYUWANGI,Banyuwangi,Jawa Timur
A 17 BENCULUK APOTEK ETY MAWARTI ETY,JL.RAYA BENCULUK NO.11 CLURING,Banyuwangi,Jawa Timur
A DAHLAN MUHAMADIYAH RSIA,JL. GATOT SUBROTO 84 KEDIRI,Kediri,Jawa Timur
A GUNUNG ANYAR APT,CENTRAL PARK GUNUNG ANYAR REGENCY BLOK A-10,Kota Surabaya,Jawa Timur
A M A N APOTEK,JL. BEBEKAN 15 SEPANJANGSIDOARJO,Sidoarjo,Jawa Timur
A YANI APOTEK,JL AHMAD YANI NO 20 RT2 RW3,Kota Surabaya,Jawa Timur
A81562 - FARADINA AP,BOJONEGORO,Bojonegoro,Jawa Timur
A83424 - WARDOYO AP,BOJONEGORO,Bojonegoro,Jawa Timur
AA MEDIKA APOTEK,JEMBER,Jember,Jawa Timur
AA MEDIKA APOTEK,JL.CUMEDAK NO.8 SUKOWONO,Jember,Jawa Timur
AA WIJAYA APOTEK JEMBER,"JL. TAWANG MANGU NO.62 TEGALGEDE, SUMBERSARI",Jember,Jawa Timur
AAA HEAD OFFICE,"Komplek Pergudangan Multiguna, Jl. Raya Serpong Blok D1 No. 5-6",Kota Surabaya,Jawa Timur
AAA SIDOARJO,Jl. Gatot Subroto No. 17,Sidoarjo,Jawa Timur
AAM BALIKPAPAN,JL. DI PANJAITAN NO 139 RT. 49 SUMBER REJO BALIKPAPAN TENGAH,Kota Balikpapan,Kalimantan Timur
AAM BANDUNG,JL CIBOLERANG NO 7 MARGASUKA BABAKAN CIPARAY,Kota Bandung,Jawa Barat
AAM BANJARMASIN,"JL GUBERNUR SUBARJO KM 3.8 NO 08 KOMP PERGUDANGAN BUMI BASIRIH GDG B1,B2,B3,B5 KEL BASIRIH-KEC BANJARMASIN SELATAN",Kota Banjarmasin,Kalimantan Selatan
AAM CIREBON,JL. WIRATAMA NO.33 RT.003 RW.003 KEDUNG JAYA KEDAWUNG KAB. CIREBON,CIREBON,JAWA BARAT
AAM JAKARTA 2,"INFINIA PARK MODERN WHS, BLOK A11,A12,A15-A18 JL.DR.SAHARJO NO.45",Kota Administrasi Jakarta Selatan,Dki Jakarta
AAM JEMBER,"JL. TEUKU UMAR NO. 72 KEL KEBON SARI, KEC SUMBER SARI",Jember,Jawa Timur
AAM KUPANG,"JL. PULAU INDAH NO. 9C, KEL. OESAPA BARAT, KEC. KELAPA LIMA, KUPANG, NTT",Kota Kupang,Nusa Tenggara Timur
AAM MAKASSAR,"JL. IR.JUANDA NO.12,RT 001 RW 001 WALA-WALAYA TALLO",Kota Makassar,Sulawesi Selatan
AAM MALANG,"JL. SIMPANG RANUGRATI NO.20 RT.03 RW.04 KEL.SAWOJAJAR KEC.KEDUNGKANDANG, KOTA MALANG",Kota Malang,Jawa Timur
AAM MEDAN,JL. SEI SERAYU 102 TANJUNG REJO,Kota Medan,Sumatera Utara
AAM NDC CIKARANG,Jl. Industri Selatan VII Blok PP-7A Kawasan Industri Jababeka II Cikarang Selatan,Bekasi,Jawa Barat
AAM NDC CIKARANG,"JL. INDUSTRI SELATAN 7 BLOK PP 7A. KAWASAN INDUSTRI JABABEKA II DESA PASIRSARI, KEC.CIKARANG SELATAN",Bekasi,Jawa Barat
AAM PALEMBANG,"Jl AKBP Cek Agus No 6534 Rt/Rw 042/8 Ilir, Ilir Timur III",Kota Palembang,Sumatera Selatan
AAM PONTIANAK,JALAN ARTERI SUPADIO-AHMAD YANI II NO.104-106 KEL.ARANG LIMBUNG KEC. SUNGAI RAYA,Kubu Raya,Kalimantan Barat
AAM PURWOKERTO,JL. S PARMAN NO 70 RT 009 / RW 02 PURWOKERTO SELATAN,Banyumas,Jawa Tengah
AAM SAMARINDA,JL. IR SUTAMI BLOK O-9,Kota Samarinda,Kalimantan Timur
AAM SEMARANG,JL. KAWASAN INDUSTRI CANDI BLOK 5 NO 29,Kota Semarang,Jawa Tengah
AAM SURABAYA,JALAN RUNGKUT INDUSTRI III NO 35 RUNGKUT MANANGGAL - GUNUNG ANYAR,Sidoarjo,Jawa Timur
AAM SURABAYA,JL. RUNGKUT INDUSTRI III NO. 35 RUNGKUT MANANGGAL - GUNUNG ANYAR,Sidoarjo,Jawa Timur
AAM TANGERANG,"JL. PINANG KUNCIRAN NO 31 RT 004 RW 002 KEL PINANG, KEC PINANG",Kota Tangerang,Banten
AAM YOGYAKARTA,"Jl. Kyai Guno Mrico, Mrican, Giwangan, Umbulharjo",Kota Yogyakarta,Daerah Istimewa Yogyakarta
AASIYAH APOTEK,DS. MOJOKEREP RT/RW 03/02 KEC. PLEMAHAN KAB. KEDIRI KEDIRI,Kediri,Jawa Timur
AB FARMA APOTEK,"DUSUN KOLLA DAYA, KEL. KETAPANG LAOK, KEC. KETAPANG, KAB. SAMPANG, PROVINSI JAWA TIMUR, 69261",Sampang,Jawa Timur
ABADI JAYA FARMA APOTEK,JL DR SUTOMO NO 12 MADIUN KARTOHARJO,Madiun,Jawa Timur
