jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,kategori_obat,anomaly_label,anomaly_reason
Dalam Negeri,RUMAH SAKIT IBU DAN ANAK AMANDA,"JL. MAYOR SUJADI NO.38, DS/KEL. JEPUN, KEC. TULUNGAGUNG",TULUNGAGUNG,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG MALANG,Jawa Timur,Kab. Malang,2026010397,2026-01-13,T38250011,4.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,Rumah Sakit,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,DKI JAKARTA,,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG MALANG,Jawa Timur,Kab. Malang,RMLG/000810/26,2026-05-07,N2603043,30.0,"DUS, 3 STRIP @ 10 TABLET",2028-03-01,3172,pt,misoprostol,-1,"Provinsi tujuan kosong padahal kota diisi, Isolation Forest outlier (ML)"
Recall,MPI GUDANG POOLING CAKUNG,-,PT NULAB,0F0670,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG SURABAYA,Jawa Timur,Kota Surabaya,RSBY/000107/26,2026-01-15,N2511002,10.0,"DUS, 3 STRIP @ 10 TABLET",2027-11-01,,pt,misoprostol,1,Normal
Recall,MPI GUDANG POOLING CAKUNG,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG JEMBER,Jawa Timur,Kab. Jember,RJBR/000190/26,2026-02-09,N2512024,20.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-01,,pt,misoprostol,1,Normal
Dalam Negeri,,-,,,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO II,Jawa Timur,Kab. Sidoarjo,-,2026-04-30,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Kota/Kab tujuan kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-01-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-01-31,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,-,2026-02-28,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MIPROS,MAHAKAM BETA FARMA,MERAPI UTAMA PHARMA CABANG MADIUN,Jawa Timur,Kota Madiun,-,2026-02-28,-,0.0,"Dus, 3 strip @ 10 tablet",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
Dalam Negeri,,-,MALANG,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,GUARDIAN PHARMATAMA,MERAPI UTAMA PHARMA CABANG JEMBER,Jawa Timur,Kab. Jember,-,2026-02-28,-,0.0,"DUS, 3 STRIP @ 10 TABLET",,Transaksi Nihil,Lainnya,misoprostol,-1,"Jumlah distribusi tidak valid (≤0), Tujuan penyaluran kosong, Isolation Forest outlier (ML)"
