id,jenis_sarana,nama_tujuan_penyaluran
1,pt,krj pratama tandya
2,pt,ppi denpasar
3,pt,hapeel pharmindo
4,pt,sapta sari tama surabaya
5,pt,acacia mitra abadi
6,pt,imar karya tama
7,pt,mpi gudang pooling cakung
8,pt,gehael nusantara
9,pt,naura medika
10,pt,karya dwi elang - surabaya
11,pt,zorela raya
12,pt,pv sby
13,pt,fitalab utama karya
14,pt,agung pharmindo indonesia
15,pt,petro graha medika - surabaya
16,pt,antarmitra sembada cabang malang
17,pt,sumber hidup sehat
18,pt,sinvalen jaya sentosa
19,pt,sapta sari tama
20,pt,cipta karya husada utama
21,pt,cemerlang kharisma jaya wijaya
22,pt,parama semesta medika
23,pt,rezeki husada utama
24,pt,sejahtera surya intramedika
25,pt,krj niaga
26,pt,perusahaan perdagangan indonesia madiun
27,pt,makmur agung sejahtera surabaya surabaya
28,pt,semesta group 11
29,pt,putra barokah
30,pt,inti sukses medika
31,pt,combi putra
32,pt,nusantara sebelas medika djatiroto lumajang
33,pt,bintang agung
34,pt,anugerah balindo centrafarma
35,pt,tiara citra raya
36,pt,teknologi medika pratama
37,pt,lancar jaya sehat
38,pt,dayaanugerah dewatasakti
39,pt,mbs
40,pbf,unit logistik sentral uls
41,rs,kh abdurrahman syamsuri lamongan
42,rs,citra husada jember
43,rs,bina sehat jember
44,rs,pusura candi
45,rs,wava husada mlg
46,rs,at tin husada
47,rs,marinir ewa pangalila gunungsari
48,rs,medika mulia tuban
49,rs,djatiroto
50,rs,elizabeth situbondo
51,rs,citra husada
52,rs,muhamadiyah kalitidu bojonegoro bojonegoro
53,rs,rahayu
54,apotek,ridho sehat
55,apotek,sumber waras
56,apotek,ashila
57,apotek,apb gresik
58,apotek,pahala pondok
59,apotek,kurnia pelemwatu
60,apotek,alfathunissa
61,apotek,kawan agung legian legian kuta
62,apotek,setia medika
63,apotek,meditra desi rahmanita
64,apotek,hidayah abadi
65,apotek,sahabat kalibobo
66,apotek,sehat sejahtera radamata
67,apotek,sahabat jaya
68,apotek,bhakti santoso
69,apotek,ghatot kacha pharmacy
70,apotek,siaga mustika
71,apotek,pelita pharmacies kanigaran
72,apotek,pahala manukan
73,apotek,lintang agoeng
74,klinik,sartika lamongan
75,klinik,kripmd siti fatimah
