jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,status_validasi
Dalam Negeri,APOTEK K24 AHMAD YANI KUPANG,"AHMAD YANI NO. 58 MERDEKA KOTA LAMA, KOTA KUPANG, NUSA TENGGARA TIMUR",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2401/17258,2024-01-03,66014006,2,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Ahmad Yani, Kupang (CV. AHMAD YANI MANISE)",VALID
Dalam Negeri,APOTEK K24 AHMAD YANI KUPANG,"AHMAD YANI NO. 58 MERDEKA KOTA LAMA, KOTA KUPANG, NUSA TENGGARA TIMUR",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,DO-41001/2402/31186,2024-02-05,66014006,1,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Delivery Order To Apotek K-24 Ahmad Yani, Kupang (CV. AHMAD YANI MANISE)",VALID
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320593288,2024-03-13,PIH05152,4,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320597334,2024-03-28,PIH05152,4,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,5320212789,2024-06-03,PIH05152,3,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320614408,2024-06-11,PIH05152,5,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,RS YAY RUMAH SAKIT BAPTIS KEDIRI,"B.POL IBH PRANOTO 1-7, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320628348,2024-08-12,PIH05152,4,"DUS, 1 VIAL @ 10 ML",2025-07-31 00:00:00,-,VALID
Dalam Negeri,RSU MUHAMMADIYAH PONOROGO,"DIPONEGORO NO.50, JL",,,KETAMINE HYDROCHLORIDE,KETANAEST,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,Jawa Timur,Kab. Malang,8320583038,2024-01-29,PIG85452,2,"DUS, 1 VIAL @ 10 ML",2025-06-30 00:00:00,-,VALID
Dalam Negeri,APOTEK K24 MARGOMULYO NGAWI DIRO REJEKI SEJAHTERA,"DIRO RT. 060 RW. 000 PENDOWOHARJO, SEWON KAB. BANTUL DAERAH ISTIMEWA YOGYAKARTA",,,"KETAMINE HYDROCHLORIDE, Propilena glikol (propana-1,2- diol)",IVANES,IKAPHARMINDO PUTRAMAS TBK,KARYA DWI ELANG,Jawa Timur,Kota Surabaya,INV-41001/2401/23868,2024-01-29,66014006,2,"DUS,1 VIAL 10 ML",2026-02-01 00:00:00,"Sold To Apotek K-24 Margomulyo, Ngawi (PT. DIRO REJEKI SEJAHTERA)",VALID
Dalam Negeri,RS HIDAYAH,"DK. RECOSARI RT.002/002 DESA KRAGILAN KEC. MOJOSONGO, KAB. BOYOLALI, PROVINSI JAWA TENGAH, 57322",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241100438,2024-11-11,PID50653,1,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
