jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,anomaly_label
DALAM NEGERI,RS MEDIKA MULIA,JL. MOJOPAHIT NO.699 TUBAN 62314,Kab. Tuban,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,325000012,2025-01-02,IMRPA41528,48,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16-20 SURABAYA 60225,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125000152,2025-01-02,I073N002,10,"DUS, 1 VIAL @ 1 G",2027-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16-20 SURABAYA 60225,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125000152,2025-01-02,I037N003,40,"DUS, 1 VIAL @ 1 G",2027-09-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16-20 SURABAYA 60225,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROBAT,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125000152,2025-01-02,I037N002,3,"DUS, 1 VIAL @ 1 G",2027-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS HERMINA,"JL. RAYA PASURUAN-PROBOLINGGO KM.5 RT.01 RW.01 SAMBIREJO REJOSO, KAB. PASURUAN 67181",PASURUAN,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125000072,2025-01-02,IMRPA41515,5,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS MEDIKA MULIA,JL. MOJOPAHIT NO.699 TUBAN 62314,Kab. Tuban,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,325000012,2025-01-02,IMRPA41533,52,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS UNIVERSITAS BRAWIJAYA,JL. SOEKARNO HATTA MALANG,Kab. Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,LAB MEDIKA SEJAHTERA CABANG MALANG,JAWA TIMUR,KAB. MALANG,FC -2501-921296,2025-01-02,D4C653,4,"DUS, 10 VIAL @ 1 G",2026-03-01 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS BINA SEHAT,JL. JAYANEGARA NO.7 JEMBER 68133,Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-02,IMRPA41525,21,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16-20 SURABAYA 60225,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,125000179,2025-01-02,IMRPA41533,35,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS WIJAYA KUSUMA,JL.AHMAD YANI KEPUHARJO-LUMAJANG,Kab. Lumajang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,BANYUWANGI PHARMA UTAMA,JAWA TIMUR,KAB. BANYUWANGI,250100065,2025-01-02,1604M076,10,"DUS, 1 VIAL @ 1 GRAM",2026-09-30 00:00:00,NAN,Rumah Sakit,1
